,rank_test_score,param_mlpregressor__alpha,param_mlpregressor__hidden_layer_sizes,param_mlpregressor__max_iter,param_mlpregressor__solver,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
14,15,0.001,"(8,)",25,adam,-1.261200953185747,0.5506227015308445,790.8495076179504,133.34247814733152,3.257378435134888,0.35342660434472106,-0.9725498336124312,-1.375111153484661,-2.21665645137622,-0.553055244528627,-1.1886320829267962
15,16,0.0001,"(8,)",25,adam,-1.2631734737831624,0.5495989928994114,748.3251378536224,130.64397030435742,3.03226900100708,0.3672846450181998,-0.9824200578159733,-1.375110842325253,-2.2166499869345855,-0.5530545331607871,-1.1886319486792125
16,17,0.01,"(2,)",25,lbfgs,-1.345980569783839,0.5624216623996889,30.98729362487793,3.67868740200884,1.8679242134094238,0.08929247576124835,-1.000892710454143,-1.5675212197098607,-2.291370390228894,-0.6334384839835389,-1.2366800445427584
17,18,0.001,"(2,)",25,lbfgs,-1.3503032943554039,0.5697071060664047,27.84679503440857,2.7298055960831045,1.6998263359069825,0.03415876166028914,-1.0008927141862265,-1.5675212197085377,-2.312984007910075,-0.6334384858775791,-1.2366800440946017
18,19,0.0001,"(2,)",25,lbfgs,-1.35153826380084,0.5717954617934222,28.196836519241334,2.948156683036333,1.7040722846984864,0.04208336600160985,-1.0008927136249977,-1.567521219708421,-2.3191588557109375,-0.6334384859121711,-1.236680044047674
19,20,0.1,"(2,)",25,lbfgs,-1.3531028623919692,0.5744453243865539,28.801659870147706,2.9371911676480216,1.7971570014953613,0.04727268562978908,-1.0008932794484122,-1.5675212197255068,-2.326981300735671,-0.6334384635142148,-1.2366800485360414
20,21,0.01,"(4,)",25,adam,-1.3542074893370522,0.5179620223681294,498.59149489402773,121.4448019811103,2.455450105667114,0.3720712546019724,-1.0902204545391503,-1.5063297721140265,-2.1833000929125297,-0.6057278823352017,-1.3854592447843515
21,22,0.1,"(4,)",25,adam,-1.3542251400880176,0.5179362791774728,274.4137357711792,20.14629558486163,1.9079132556915284,0.0937747190924542,-1.0902197957371849,-1.5063294965347365,-2.183300073608306,-0.6058171122956298,-1.3854592222642312
22,23,0.001,"(4,)",25,adam,-1.3542390133740587,0.5179181594294906,549.6580335140228,122.35991648628386,2.683539628982544,0.3703647818145126,-1.0902202139555357,-1.5063299624870425,-2.183302040504932,-0.6058820060374613,-1.3854608438853218
23,24,0.0001,"(4,)",25,adam,-1.3599667601083123,0.5096940491200594,540.6500543117523,40.77196103575415,2.606638479232788,0.20383624524917515,-1.0902214643436525,-1.5063315332187395,-2.1832840203510813,-0.6345334010549816,-1.385463381573107
